Date,Open,High,Low,Close,Adj Close,Volume
2021-10-28,5.659999847412109,5.739999771118164,5.510000228881836,5.630000114440918,5.630000114440918,267000
2021-10-29,5.550000190734863,5.829999923706055,5.3979997634887695,5.699999809265137,5.699999809265137,433800
2021-11-01,5.659999847412109,6.199999809265137,5.599999904632568,6.010000228881836,6.010000228881836,297500
2021-11-02,6.03000020980835,6.070000171661377,5.929999828338623,6.010000228881836,6.010000228881836,149700
2021-11-03,6.0,6.090000152587891,5.760000228881836,5.96999979019165,5.96999979019165,263700
2021-11-04,5.960000038146973,6.034999847412109,5.75,5.769999980926514,5.769999980926514,166700
2021-11-05,5.769999980926514,5.927000045776367,5.724999904632568,5.829999923706055,5.829999923706055,138900
2021-11-08,5.829999923706055,5.989999771118164,5.78000020980835,5.949999809265137,5.949999809265137,222900
2021-11-09,5.880000114440918,6.130000114440918,5.849999904632568,6.039999961853027,6.039999961853027,281300
2021-11-10,6.0,6.300000190734863,5.951000213623047,6.159999847412109,6.159999847412109,333900
2021-11-11,6.150000095367432,6.28000020980835,5.860000133514404,5.909999847412109,5.909999847412109,164200
2021-11-12,5.980000019073486,5.997000217437744,5.75,5.869999885559082,5.869999885559082,160200
2021-11-15,5.840000152587891,5.894999980926514,5.489999771118164,5.590000152587891,5.590000152587891,583600
2021-11-16,5.590000152587891,5.706999778747559,5.449999809265137,5.679999828338623,5.679999828338623,162700
2021-11-17,5.619999885559082,5.800000190734863,5.559999942779541,5.670000076293945,5.670000076293945,154800
2021-11-18,5.599999904632568,5.630000114440918,5.400000095367432,5.429999828338623,5.429999828338623,249900
2021-11-19,5.360000133514404,5.75,5.300000190734863,5.420000076293945,5.420000076293945,485500
2021-11-22,5.409999847412109,5.409999847412109,5.099999904632568,5.110000133514404,5.110000133514404,304700
2021-11-23,5.179999828338623,5.25,5.010000228881836,5.25,5.25,179700
2021-11-24,5.190000057220459,5.275000095367432,5.119999885559082,5.150000095367432,5.150000095367432,153200
2021-11-26,5.03000020980835,5.139999866485596,4.989999771118164,5.0,5.0,122100
2021-11-29,5.0,5.099999904632568,4.960000038146973,4.989999771118164,4.989999771118164,110600
2021-11-30,4.929999828338623,4.96999979019165,4.440000057220459,4.5,4.5,848700
2021-12-01,4.53000020980835,4.900000095367432,4.53000020980835,4.550000190734863,4.550000190734863,320600
2021-12-02,4.570000171661377,4.75,4.559999942779541,4.670000076293945,4.670000076293945,233900
2021-12-03,4.679999828338623,4.679999828338623,4.5,4.550000190734863,4.550000190734863,229500
2021-12-06,4.550000190734863,4.570000171661377,4.340000152587891,4.429999828338623,4.429999828338623,228800
2021-12-07,4.570000171661377,5.03000020980835,4.565000057220459,4.829999923706055,4.829999923706055,254800
2021-12-08,4.840000152587891,5.170000076293945,4.800000190734863,4.949999809265137,4.949999809265137,138800
2021-12-09,4.949999809265137,5.260000228881836,4.880000114440918,4.980000019073486,4.980000019073486,220600
2021-12-10,5.010000228881836,5.170000076293945,4.730000019073486,4.78000020980835,4.78000020980835,138800
2021-12-13,4.679999828338623,4.691999912261963,4.03000020980835,4.039999961853027,4.039999961853027,689400
2021-12-14,4.130000114440918,4.289999961853027,4.039999961853027,4.099999904632568,4.099999904632568,271900
2021-12-15,4.059999942779541,4.260000228881836,3.950000047683716,4.230000019073486,4.230000019073486,321300
2021-12-16,4.130000114440918,4.21999979019165,4.0,4.179999828338623,4.179999828338623,383000
2021-12-17,4.059999942779541,4.309999942779541,4.021999835968018,4.300000190734863,4.300000190734863,839500
2021-12-20,4.179999828338623,4.289999961853027,4.090000152587891,4.130000114440918,4.130000114440918,109900
2021-12-21,4.130000114440918,4.269999980926514,4.130000114440918,4.230000019073486,4.230000019073486,166100
2021-12-22,4.199999809265137,4.50600004196167,4.199999809265137,4.400000095367432,4.400000095367432,198800
2021-12-23,4.400000095367432,4.449999809265137,4.260000228881836,4.400000095367432,4.400000095367432,137500
